Name des RZ (Recherche);Betreiber (Recherche);Eigentümer (Recherche);Sitz des Eigentümers (Recherche);Art des Eigentümers (Recherche);Art des RZ (Expertenmeinung);Status (Recherche);Wahrscheinlichkeit (%) (Expertenmeinung);Baustatus (Recherche);Region (Recherche);Metro region (Recherche);Stadt (Recherche);Postleitzahl (Recherche);Latitude;Longitude;Gesamtfläche Gebäude (m²) (Recherche);Fläche für IT (m²) (Recherche);Netzanschluss (kW) (Recherche);Stromkapazität für IT (kW) (Recherche);Geplante Inbetriebnahme (Recherche);Verifizierte Quelle 1;Verifizierte Quelle 2;Verifizierte Quelle 3;Verifizierte Quelle 4;Verifizierte Quelle 5;Verifizierte Quelle 6
AI Factory Amberg - Phase 1;Polarise Holding GmbH;SWI Capital Holding Ltd.;Germany;Investor;Hyperscale;under_construction;100;under_construction;Bayern;München;Amberg (Wertachtal);86854;48.0869;10.695;;;30000;;2027-01-01;https://press.siemens.com/de/de/pressemitteilung/siemens-errichtet-digitale-zukunftsfabrik-amberg;https://www.datacenter-insider.de/polarise-baut-ai-factory-im-unterallgaeu-a-37c7798a876ee7946b94837764285f64/;https://www.kreisbote.de/lokales/allgaeu/in-unterallgaeuer-gemeinde-amberg-soll-ki-rechenzentrum-mit-enormer-kapazitaet-entstehen-94216828.html;https://www.onvista.de/news/2026/03-10-startup-polarise-plant-weiteres-milliardenschweres-ki-rechenzentrum-in-bayern-0-20-26487926;;
AI Factory Amberg - Phase 2;Polarise Holding GmbH;SWI Capital Holding Ltd.;Germany;Investor;Hyperscale;planned;10;planning;Bayern;München;Amberg (Wertachtal);86854;48.0869;10.695;;;90000;;2027-01-01;https://press.siemens.com/de/de/pressemitteilung/siemens-errichtet-digitale-zukunftsfabrik-amberg;https://www.datacenter-insider.de/polarise-baut-ai-factory-im-unterallgaeu-a-37c7798a876ee7946b94837764285f64/;https://www.kreisbote.de/lokales/allgaeu/in-unterallgaeuer-gemeinde-amberg-soll-ki-rechenzentrum-mit-enormer-kapazitaet-entstehen-94216828.html;https://www.onvista.de/news/2026/03-10-startup-polarise-plant-weiteres-milliardenschweres-ki-rechenzentrum-in-bayern-0-20-26487926;;
AnoMed;Universität Lübeck;Universität Lübeck;Germany;University;University;under_construction;100;under_construction;Schleswig-Holstein;Lübeck;Lübeck;23562;53.8343287;10.70358696;400;;;;2026-01-01;https://www.datacenter-insider.de/luebeck-plant-ki-rechenzentrum-fuer-medizin-und-forschung-a-a04fdf8dbaa0b154e05dca7318427110/;;;;;
AtlasEdge HAM002;AtlasEdge;Digital Bridge;United States;Investor;Co-Location;under_construction;100;under_construction;Hamburg;Hamburg;Ahrensburg;22926;53.67874503;10.27050567;;;12800;;;https://atlasedge.com/de/atlasedge-baut-rechenzentrum-ham002-in-der-region-hamburg-aus/;;;;;
AWS European Sovereign Cloud - Rechenzentrum Baruth/Mark;AWS Germany GmbH;Amazon;United States;Operator;Hyperscale;planned;100;planning;Brandenburg;Berlin-Brandenburg;Baruth;15837;52.07740662;13.50660787;;;100000;;;https://www.datacenter-insider.de/aws-erweitert-mit-neuen-local-zones-europaeische-standorte-a-bcd282d1f51e67e79154e70258f7b077/;https://www.maz-online.de/lokales/teltow-flaeming/amazon-investiert-in-baruth-neues-rechenzentrum-im-gewerbegebiet-bernhardsmueh-geplant-NFYBJYM6U5EZ3DSRLSIDU43VBI.html;;;;
AWS European Sovereign Cloud - Rechenzentrum Massen (Finsterwalde/Elbe-Elster);AWS Germany GmbH;Amazon;United States;Operator;Hyperscale;under_construction;100;under_construction;Brandenburg;Lausitz/Südbrandenburg;Finsterwalde (Elbe-Elster);03238;51.63572311;13.73914809;;;200000;;;https://www.datacenter-insider.de/aws-baut-rechenzentrum-bei-finsterwalde-im-gewerbegebiet-massen-a-4d9b9567a4bcf8f12f5307d6d5a95b57/;;;;;
AWS-Rechenzentrum Schöneck-Kilianstädten;Amazon Web Services;Amazon;United States;Operator;Hyperscale;planned;80;planning;Hessen;Frankfurt;Schöneck;61137;50.20707232;8.86600846;;;100000;;;https://www.datacenter-insider.de/aws-rechenzentrum-soll-schoeneck-aus-der-schuldenkrise-fuehren-a-bbf8c53c2949f395c703a3a804fc7314/;https://vorsprung-online.de/mkk/schoeneck/schoeneck/amazon-rechenzentrum-sch%C3%B6neck-undurchsichtiges-verfahren.html;https://www.op-online.de/region/main-kinzig-kreis/schoeneck/buergerinitiative-bewertet-plaene-fuer-rechenzentrum-weiter-kritisch-94194885.html;https://www.datacentermap.com/germany/frankfurt/amazon-aws-schoneck/specs/;;
Bad Lippspringe - Phase 1;YEXIO;Palladio Partners;Germany;Investor;Co-Location;under_construction;;groundbreaking;Nordrhein-Westfalen;Ostwestfalen-Lippe;Bad Lippspringe;33175;51.77786875;8.79000083;;;2000;;2026-01-01;https://www.datacenter-insider.de/spatenstich-fuer-yexio-datacenter-in-bad-lippspringe-a-ca25c0f252b5f4224498c561613be043/;https://hochtief-pppsolutions.de/de/aktuelles/details/hochtief-und-palladio-partners-starten-bau-eines-yexio-rechenzentrums-in-bad-lippspringe;https://www.palladio-partners.com/de/aktuelles/hochtief-und-palladio-partners-starten-bau-eines-yexio-rechenzentrums-in-bad-lippspringe/;;;
Bad Lippspringe - Phase 2;YEXIO;Palladio Partners;Germany;Investor;Co-Location;under_construction;;groundbreaking;Nordrhein-Westfalen;Ostwestfalen-Lippe;Bad Lippspringe;33175;51.77786875;8.79000083;;;2000;;2026-01-01;https://www.datacenter-insider.de/spatenstich-fuer-yexio-datacenter-in-bad-lippspringe-a-ca25c0f252b5f4224498c561613be043/;https://hochtief-pppsolutions.de/de/aktuelles/details/hochtief-und-palladio-partners-starten-bau-eines-yexio-rechenzentrums-in-bad-lippspringe;https://www.palladio-partners.com/de/aktuelles/hochtief-und-palladio-partners-starten-bau-eines-yexio-rechenzentrums-in-bad-lippspringe/;;;
Bad Mergentheim;Data Center Group;Caritas Krankenhaus;Germany;;Enterprise;under_construction;;groundbreaking;Baden-Württemberg;Heilbronn-Franken;Bad Mergentheim;97922;49.52821282;9.77743736;147;;;;2026-01-01;https://www.datacenter-insider.de/ein-ki-faehiges-rechenzentrum-fuer-die-barmherzigen-brueder-a-e397b6e5b9165f30509e4dc89379fbe3/;https://www.datacentermap.com/germany/bad-mergentheim/caritas-krankenhaus-bad-mergentheim/;https://datacenter-group.com/de/news-stories/artikel/spatenstich-fuer-neues-rechenzentrum-der-bbt-gruppe/;;;
Bad Vilbel;Vantage Data Centers;Digital Bridge;United States;Investor;Co-Location;planned;70;planning;Hessen;Frankfurt;Bad Vilbel;61118;50.196385;8.73838184;;;;160000;;https://www.fnp.de/lokales/wetteraukreis/bad-vilbel/zum-rechenzentrum-viele-fragen-93810708.html;;;;;
